id,sentiment
10633_1,0
4489_1,0
3304_10,1
3350_3,0
1119_1,0
6827_4,0
9788_9,1
2395_7,1
1782_4,1
11232_1,0
796_3,1
1150_10,1
8605_10,1
1777_10,1
11761_1,1
4032_4,0
2681_3,1
11724_8,1
1587_2,0
2302_9,1
9934_3,0
1052_8,1
4802_8,1
5639_7,1
10869_7,0
5514_4,1
1668_1,0
3610_1,0
8807_9,0
937_1,0
2950_10,0
1794_7,1
7573_9,1
5345_9,1
1789_3,0
5320_2,0
6662_1,0
3141_10,1
253_7,1
6866_1,1
9867_1,0
2509_9,1
291_3,1
2277_4,0
9885_4,0
10320_2,0
11769_1,0
9682_10,1
51_1,0
1598_8,1
5363_1,0
697_2,0
4847_1,0
11456_10,1
7290_3,0
8102_1,0
6635_10,1
11318_1,0
605_8,1
3678_8,0
11950_8,0
8299_1,1
10448_1,0
298_8,1
12246_9,1
11960_8,0
1261_8,1
5474_9,1
7525_7,1
5397_9,1
1174_4,0
6015_1,0
11155_2,0
11327_4,0
8639_3,0
11473_4,1
9087_1,0
4573_10,1
5600_8,1
8787_8,1
11088_7,1
5842_1,0
782_9,1
7734_10,1
4925_7,1
9280_1,0
6317_10,1
6416_7,1
5093_10,0
8775_3,0
4863_10,1
10587_1,1
1507_8,1
6716_3,0
3848_4,0
3261_4,1
6900_8,1
2207_9,0
10013_1,0
3115_8,0
3677_3,1
710_9,1
11381_10,1
8736_3,0
3609_1,0
10043_1,0
2056_1,1
9505_4,0
11687_10,1
8153_1,0
3031_2,0
4690_2,0
8492_1,0
1338_3,0
11609_10,1
3030_1,0
5836_8,0
8999_8,0
4168_7,1
4006_4,0
8747_3,1
8648_1,0
8627_4,0
216_8,1
6882_1,1
778_2,0
8536_4,1
31_8,0
9102_8,1
8698_10,1
11410_3,0
2429_8,1
884_4,0
9478_1,0
11824_1,0
3075_1,0
3916_3,0
9080_3,0
4246_4,0
10734_10,1
4760_7,1
1805_1,0
11731_4,0
2487_1,0
9461_1,0
608_8,1
12013_10,1
6760_2,1
10049_1,0
3314_1,0
8697_2,0
6837_10,1
6905_1,0
6066_10,1
10017_4,0
10602_10,1
12109_4,0
5398_1,0
7525_2,0
9241_3,0
9345_1,0
6091_7,1
9517_10,1
5566_2,0
6859_7,1
4481_1,0
2636_1,0
4421_8,1
10614_1,0
11004_1,0
5662_3,0
11264_1,0
11528_7,1
236_9,1
2893_10,1
4272_10,1
10879_1,0
6550_4,1
4262_10,1
8435_1,1
8638_7,0
11627_1,0
10831_7,1
